Order ID,Date_Order_Placed,Time_Order_Placed,Purchase Address,Location,State Code,PinCode,OrderTotal,,,,,,,,,,,,,,,,,,
141234,1/22/2019,21:25,944 Walnut St, Boston,MA,2215,$700.00,,,,,,,,,,,,,,,,,,
141235,1/28/2019,14:15,185 Maple St, Portland,OR,97035,$14.95,,,,,,,,,,,,,,,,,,
141236,1/17/2019,13:33,538 Adams St, San Francisco,CA,94016,$23.98,,,,,,,,,,,,,,,,,,
141237,1/5/2019,20:33,738 10th St, Los Angeles,CA,90001,$149.99,,,,,,,,,,,,,,,,,,Column1
141238,1/25/2019,11:59,387 10th St, Austin,TX,73301,$11.99,,,,,,,,,,,,,,,,,,
141239,1/29/2019,20:22,775 Willow St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141240,1/26/2019,12:16,979 Park St, Los Angeles,CA,90001,$389.99,,,,,,,,,,,,,,,,,,
141241,1/5/2019,12:04,181 6th St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141242,1/1/2019,10:30,867 Willow St, Los Angeles,CA,90001,$99.99,,,,,,,,,,,,,,,,,,
141243,1/22/2019,21:20,657 Johnson St, San Francisco,CA,94016,$150.00,,,,,,,,,,,,,,,,,,
141244,1/7/2019,11:29,492 Walnut St, San Francisco,CA,94016,$150.00,,,,,,,,,,,,,,,,,,
141245,1/31/2019,10:12,322 6th St, San Francisco,CA,94016,"$1,700.00",,,,,,,,,,,,,,,,,,
141246,1/9/2019,18:57,618 7th St, Los Angeles,CA,90001,$8.97,,,,,,,,,,,,,,,,,,
141247,1/25/2019,19:19,512 Wilson St, San Francisco,CA,94016,$149.99,,,,,,,,,,,,,,,,,,
141248,1/3/2019,21:54,363 Spruce St, Austin,TX,73301,$300.00,,,,,,,,,,,,,,,,,,
141249,1/5/2019,17:20,440 Cedar St, Portland,OR,97035,$149.99,,,,,,,,,,,,,,,,,,
141250,1/10/2019,11:20,471 Center St, Los Angeles,CA,90001,$400.00,,,,,,,,,,,,,,,,,,
141251,1/24/2019,8:13,414 Walnut St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141252,1/30/2019,9:28,220 9th St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141253,1/17/2019,0:09,385 11th St, Atlanta,GA,30301,$3.84,,,,,,,,,,,,,,,,,,
141254,1/8/2019,11:51,238 Sunset St, Seattle,WA,98101,$2.99,,,,,,,,,,,,,,,,,,
141255,1/9/2019,20:55,764 11th St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141256,1/29/2019,10:40,675 Washington St, Portland,OR,97035,$600.00,,,,,,,,,,,,,,,,,,
141257,1/12/2019,18:51,338 Highland St, San Francisco,CA,94016,$150.00,,,,,,,,,,,,,,,,,,
141258,1/19/2019,21:47,820 1st St, San Francisco,CA,94016,$3.84,,,,,,,,,,,,,,,,,,
141259,1/20/2019,17:26,920 Adams St, San Francisco,CA,94016,$5.98,,,,,,,,,,,,,,,,,,
141260,1/1/2019,22:00,293 Hill St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141261,1/9/2019,18:14,840 Lincoln St, Atlanta,GA,30301,$11.95,,,,,,,,,,,,,,,,,,
141262,1/16/2019,12:35,291 Lincoln St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141263,1/11/2019,23:33,640 Spruce St, Boston,MA,2215,$99.99,,,,,,,,,,,,,,,,,,
141264,1/3/2019,9:46,937 Highland St, New York City,NY,10001,$150.00,,,,,,,,,,,,,,,,,,
141265,1/1/2019,16:52,853 Ridge St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141266,1/2/2019,22:21,834 4th St, Dallas,TX,75001,$389.99,,,,,,,,,,,,,,,,,,
141267,1/9/2019,8:28,649 Sunset St, Los Angeles,CA,90001,$150.00,,,,,,,,,,,,,,,,,,
141268,1/14/2019,10:13,611 Elm St, New York City,NY,10001,$3.84,,,,,,,,,,,,,,,,,,
141269,1/3/2019,20:05,812 Jefferson St, Los Angeles,CA,90001,$389.99,,,,,,,,,,,,,,,,,,
141270,1/27/2019,23:10,469 Hill St, San Francisco,CA,94016,$11.99,,,,,,,,,,,,,,,,,,
141271,1/30/2019,10:51,90 13th St, Boston,MA,2215,$11.95,,,,,,,,,,,,,,,,,,
141272,1/12/2019,13:09,818 Lincoln St, New York City,NY,10001,$2.99,,,,,,,,,,,,,,,,,,
141273,1/29/2019,12:04,994 13th St, Boston,MA,2215,$23.98,,,,,,,,,,,,,,,,,,
141274,1/17/2019,11:30,8 Jackson St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141275,1/7/2019,16:06,610 Walnut St, Austin,TX,73301,$23.94,,,,,,,,,,,,,,,,,,
141276,1/21/2019,22:23,63 Cherry St, Los Angeles,CA,90001,$14.95,,,,,,,,,,,,,,,,,,
141277,1/13/2019,19:07,370 Lakeview St, Austin,TX,73301,$99.99,,,,,,,,,,,,,,,,,,
141278,1/26/2019,12:14,100 Cherry St, New York City,NY,10001,$14.95,,,,,,,,,,,,,,,,,,
141279,1/3/2019,19:10,938 14th St, Boston,MA,2215,$14.95,,,,,,,,,,,,,,,,,,
141280,1/20/2019,16:10,530 7th St, Los Angeles,CA,90001,$2.99,,,,,,,,,,,,,,,,,,
141281,1/5/2019,16:51,274 2nd St, Atlanta,GA,30301,$14.95,,,,,,,,,,,,,,,,,,
141282,1/11/2019,18:10,125 Center St, New York City,NY,10001,$400.00,,,,,,,,,,,,,,,,,,
141283,1/2/2019,16:16,68 Hickory St, Seattle,WA,98101,$300.00,,,,,,,,,,,,,,,,,,
141284,1/29/2019,18:30,462 1st St, Los Angeles,CA,90001,$11.99,,,,,,,,,,,,,,,,,,
141285,1/14/2019,14:13,447 Cedar St, Seattle,WA,98101,$8.97,,,,,,,,,,,,,,,,,,
141286,1/2/2019,20:33,505 Hickory St, Dallas,TX,75001,$389.99,,,,,,,,,,,,,,,,,,
141287,1/31/2019,8:38,386 Elm St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141288,1/19/2019,8:17,789 Washington St, Los Angeles,CA,90001,"$1,700.00",,,,,,,,,,,,,,,,,,
141289,1/28/2019,11:17,534 Elm St, Atlanta,GA,30301,$109.99,,,,,,,,,,,,,,,,,,
141290,1/2/2019,8:25,4 1st St, Los Angeles,CA,90001,$161.52,,,,,,,,,,,,,,,,,,
141291,1/26/2019,18:11,632 13th St, Los Angeles,CA,90001,$3.84,,,,,,,,,,,,,,,,,,
141292,1/21/2019,8:46,847 Ridge St, Los Angeles,CA,90001,$2.99,,,,,,,,,,,,,,,,,,
141293,1/18/2019,12:21,880 Washington St, Boston,MA,2215,$11.95,,,,,,,,,,,,,,,,,,
141294,1/25/2019,8:12,907 Highland St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141295,1/6/2019,20:06,898 Lakeview St, Austin,TX,73301,$3.84,,,,,,,,,,,,,,,,,,
141296,1/20/2019,0:21,889 Cedar St, Atlanta,GA,30301,$11.95,,,,,,,,,,,,,,,,,,
141297,1/4/2019,11:09,566 Highland St, San Francisco,CA,94016,$14.95,,,,,,,,,,,,,,,,,,
141298,1/21/2019,13:24,81 10th St, Dallas,TX,75001,$14.95,,,,,,,,,,,,,,,,,,
141299,1/31/2019,23:23,836 Hill St, Dallas,TX,75001,$2.99,,,,,,,,,,,,,,,,,,
141300,1/23/2019,10:21,121 Cherry St, Boston,MA,2215,$150.00,,,,,,,,,,,,,,,,,,
141301,1/27/2019,11:58,867 Hill St, New York City,NY,10001,$150.00,,,,,,,,,,,,,,,,,,
141302,1/18/2019,20:12,90 14th St, Portland,OR,97035,$5.98,,,,,,,,,,,,,,,,,,
141303,1/19/2019,9:23,313 14th St, Seattle,WA,98101,$3.84,,,,,,,,,,,,,,,,,,
141304,1/28/2019,13:10,363 Willow St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141305,1/27/2019,16:51,756 Wilson St, Austin,TX,73301,$8.97,,,,,,,,,,,,,,,,,,
141306,1/19/2019,10:25,458 Forest St, San Francisco,CA,94016,$11.99,,,,,,,,,,,,,,,,,,
141307,1/11/2019,11:18,895 Johnson St, Boston,MA,2215,$2.99,,,,,,,,,,,,,,,,,,
141308,1/12/2019,12:00,926 Cedar St, Portland,OR,97035,$149.99,,,,,,,,,,,,,,,,,,
141309,1/20/2019,7:02,423 Elm St, San Francisco,CA,94016,$5.98,,,,,,,,,,,,,,,,,,
141310,1/7/2019,13:32,679 8th St, San Francisco,CA,94016,$2.99,,,,,,,,,,,,,,,,,,
141311,1/28/2019,12:45,223 North St, Atlanta,GA,30301,$379.99,,,,,,,,,,,,,,,,,,
141312,1/8/2019,23:20,741 11th St, San Francisco,CA,94016,$150.00,,,,,,,,,,,,,,,,,,
141313,1/9/2019,15:03,38 Johnson St, Los Angeles,CA,90001,$14.95,,,,,,,,,,,,,,,,,,
141314,1/13/2019,23:51,700 Jefferson St, New York City,NY,10001,"$1,700.00",,,,,,,,,,,,,,,,,,
141315,1/10/2019,1:32,842 8th St, Seattle,WA,98101,$11.95,,,,,,,,,,,,,,,,,,
141316,1/1/2019,7:26,235 South St, Seattle,WA,98101,$8.97,,,,,,,,,,,,,,,,,,
141317,1/21/2019,11:18,875 Meadow St, New York City,NY,10001,$149.99,,,,,,,,,,,,,,,,,,
141318,1/9/2019,15:21,789 Lakeview St, Boston,MA,2215,$99.99,,,,,,,,,,,,,,,,,,
141319,1/1/2019,10:43,548 Maple St, Boston,MA,2215,$99.99,,,,,,,,,,,,,,,,,,
141320,1/24/2019,13:37,326 12th St, Los Angeles,CA,90001,$3.84,,,,,,,,,,,,,,,,,,
141321,1/10/2019,9:07,207 8th St, Los Angeles,CA,90001,$99.99,,,,,,,,,,,,,,,,,,
141322,1/12/2019,21:56,816 Lake St, Boston,MA,2215,$5.98,,,,,,,,,,,,,,,,,,
141323,1/17/2019,21:54,240 River St, New York City,NY,10001,$11.95,,,,,,,,,,,,,,,,,,
141324,1/4/2019,23:36,851 Maple St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141325,1/23/2019,15:17,880 Lake St, Austin,TX,73301,$99.99,,,,,,,,,,,,,,,,,,
141326,1/5/2019,13:49,131 Center St, San Francisco,CA,94016,$600.00,,,,,,,,,,,,,,,,,,
141327,1/31/2019,1:38,238 Washington St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141328,1/6/2019,23:18,736 5th St, Seattle,WA,98101,$999.99,,,,,,,,,,,,,,,,,,
141329,1/1/2019,16:01,122 5th St, Portland,ME,4101,$11.95,,,,,,,,,,,,,,,,,,
141330,1/21/2019,13:04,391 5th St, Portland,OR,97035,$11.99,,,,,,,,,,,,,,,,,,
141331,1/9/2019,18:32,299 Park St, San Francisco,CA,94016,$300.00,,,,,,,,,,,,,,,,,,
141332,1/19/2019,18:52,207 7th St, Los Angeles,CA,90001,$11.95,,,,,,,,,,,,,,,,,,
141333,1/1/2019,13:58,554 10th St, Los Angeles,CA,90001,$149.99,,,,,,,,,,,,,,,,,,
141334,1/15/2019,2:05,459 4th St, San Francisco,CA,94016,$11.95,,,,,,,,,,,,,,,,,,
141335,1/12/2019,18:16,174 4th St, Los Angeles,CA,90001,$14.95,,,,,,,,,,,,,,,,,,
141336,1/9/2019,18:23,811 Hickory St, Portland,OR,97035,$700.00,,,,,,,,,,,,,,,,,,
141337,1/9/2019,9:22,947 Church St, San Francisco,CA,94016,$99.99,,,,,,,,,,,,,,,,,,
141338,1/29/2019,16:19,542 4th St, Dallas,TX,75001,$2.99,,,,,,,,,,,,,,,,,,
141339,1/28/2019,12:52,539 Lakeview St, Dallas,TX,75001,$2.99,,,,,,,,,,,,,,,,,,
141340,1/27/2019,14:30,710 Johnson St, Boston,MA,2215,$14.95,,,,,,,,,,,,,,,,,,
141341,1/13/2019,10:09,844 Walnut St, Austin,TX,73301,$600.00,,,,,,,,,,,,,,,,,,
